WP,FlatMassQCDEff_0p25,FlatMassQCDEff_0p30,FlatMassQCDEff_0p37,FlatMassQCDEff_0p46,FlatMassQCDEff_0p58,FlatMassQCDEff_0p74,FlatMassQCDEff_0p94,FlatMassQCDEff_1p25,FlatMassQCDEff_1p55
( M()>=108.0 && M() < 109.0),4.557254407589255,4.409624831615406,4.224118682885464,3.973493987146495,3.7053552597764443,3.369824383940267,2.979771656833859,2.525695095692155,2.141940230038517
( M()>=109.0 && M() < 110.0),4.555230167735409,4.4075163180884696,4.222812222217387,3.973794973994545,3.7058302328226067,3.3679279517277765,2.9781601749223703,2.5228852994335615,2.141385873314532
( M()>=110.0 && M() < 111.0),4.5528626279241795,4.4050741481252755,4.221127187821778,3.9738766811172344,3.7060061881527067,3.3660044843262638,2.976653326613067,2.520126865251407,2.1409968866819837
( M()>=111.0 && M() < 112.0),4.550198470627472,4.402356107250603,4.219118956522338,3.973772854338358,3.705912033904829,3.3641508198117753,2.9753969761583634,2.517618092311763,2.1409293023171703
( M()>=112.0 && M() < 113.0),4.547284378317187,4.399419980989227,4.216842905142759,3.973517239481706,3.70557667821705,3.362463796260354,2.9745369878106693,2.5155572797806998,2.1413391523963896
( M()>=113.0 && M() < 114.0),4.544166786935407,4.3963230582876145,4.214353973009975,3.9731431703572975,3.7050289743285667,3.3610379251010207,2.9742154725112098,2.514138139791738,2.142378239121065
( M()>=114.0 && M() < 115.0),4.540887883179206,4.393114068953704,4.211699558655522,3.9726768792104585,3.704296829228702,3.359927615136712,2.974509848261719,2.513475321324705,2.14412545586761
( M()>=115.0 && M() < 116.0),4.5374862700301755,4.389834524214908,4.2089207008775835,3.972138608990239,3.7034073518614057,3.359153453538134,2.975442972527105,2.5136167933145477,2.1465982063867854
( M()>=116.0 && M() < 117.0),4.534000438257886,4.386525709273013,4.206058239340633,3.9715484151109703,3.7023876261825137,3.358734968465061,2.977035994392128,2.5146084368343318,2.149811969088032
( M()>=117.0 && M() < 118.0),4.530468878631903,4.383228909329802,4.203153013709143,3.970926352986984,3.7012647361478646,3.358691688077264,2.979310062941548,2.5164961329571263,2.1537822223807925
